Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimoDividendo
PQDP11,Shoppings,2300.0,0.076,0.076,0.69,564680000,187969,1.0,79306.8,80.92739999999999,0.102,0.0,17.87
PRSN11B,Residencial,0.8500000000000001,-0.0928,0.085,0.7,10986200,376,2.0,18363.7,0.0,0.0,0.0,0.15
PRSV11,Lajes Corporativas,113.01,0.0647,0.0,0.46,22037000,5313,1.0,1970.52,3.5621,0.1808,0.409,14.1
PURB11,Híbrido,95.1,0.0808,0.0250999999999999,0.92,98603700,16072,2.0,19798.9,18.3123,0.0925,0.0,1.4
PVBI11,Lajes Corporativas,97.3,0.0683,0.0629,0.98,976843000,3458220,4.0,10952.6,7.565,0.0691,0.0,0.56
QAGR11,Outros,46.50999999999999,0.1003,0.0998,0.83,234410000,343710,12.0,2762.23,3.1254000000000004,0.1131,0.0,0.41
QAMI11,Híbrido,86.8,0.2656,0.1735,0.94,69561300,46355,0.0,0.0,0.0,0.0,0.0,1.0
QIRI11,Títulos e Val. Mob.,78.04,0.0953,0.0983,0.92,11706000,2665,0.0,0.0,0.0,0.0,0.0,0.66
RBCO11,Lajes Corporativas,41.38,0.1311,0.1043,0.48,156375000,210102,4.0,3552.87,6.1484000000000005,0.1730999999999999,0.0,0.25
RBDS11,Residencial,3.71,-0.8598,0.0,0.17,469400,534,0.0,0.0,0.0,0.0,0.0,2.35
RBED11,Outros,133.6,0.1032,0.1,0.95,270089000,167498,7.0,3100.33,3.3187,0.107,0.0,1.23
RBFF11,Títulos e Val. Mob.,56.45,0.1031,0.1016,0.89,211643000,1340910,0.0,0.0,0.0,0.0,0.0,0.5
RBHG11,Títulos e Val. Mob.,87.91,0.1083,0.1583,0.92,151872000,339542,0.0,0.0,0.0,0.0,0.0,1.23
RBHY11,Títulos e Val. Mob.,96.7,0.0998,0.1730999999999999,1.0,183102000,182872,0.0,0.0,0.0,0.0,0.0,1.38
RBIR11,Residencial,69.3,-0.023,0.0034999999999999,0.72,105933000,49123,0.0,0.0,0.0,0.0,0.0,0.24
RBLG11,Logística,97.49,0.1085999999999999,0.0978999999999999,0.95,62413000,780,1.0,338.14,0.254,0.0751,0.0,0.88
RBRD11,Híbrido,40.0,0.0751,0.1,0.58,74071400,55792,4.0,2636.22,2.6248,0.0996,0.2796,0.3
RBRF11,Títulos e Val. Mob.,74.05,0.0904,0.0978999999999999,0.9,1013060000,2588870,0.0,0.0,0.0,0.0,0.0,0.6
RBRI11,Híbrido,950.0,0.0795,0.0,0.76,110086000,179759,0.0,0.0,0.0,0.0,0.0,17.86
RBRL11,Logística,95.19,0.0673,0.0862,0.88,636539000,501486,6.0,1905.25,1.6284999999999998,0.0855,0.0,0.65
RBRP11,Outros,59.3,0.0886999999999999,0.0914,0.72,722226000,1591540,10.0,10199.0,10.2509,0.1005,0.0,0.45
RBRR11,Títulos e Val. Mob.,95.73,0.103,0.1332,1.0,1286510000,4276740,0.0,0.0,0.0,0.0,0.0,1.0
RBRS11,Híbrido,65.0,0.0697,0.0806,0.72,105265000,25698,3.0,9752.11,6.6168,0.0679,0.0254,0.4
RBRX11,Títulos e Val. Mob.,95.0,0.0389,0.0,1.0,178665000,91002,0.0,0.0,0.0,0.0,0.0,0.29
RBRY11,Títulos e Val. Mob.,103.46,0.1089,0.1376,1.02,405537000,1219310,0.0,0.0,0.0,0.0,0.0,1.2
RBVA11,Outros,98.8,0.094,0.1142,0.96,1144910000,733780,81.0,7925.25,10.1498,0.1281,0.0,1.02
RBVO11,10.71,4.9799999999999995,0.1989,0.0062,5524480.0,6780,0,0.0,0.0,0.0,0.0,0.1071,0.04
RCFF11,Títulos e Val. Mob.,92.01,0.0283999999999999,0.0276,0.99,29737600,1633,0.0,0.0,0.0,0.0,0.0,1.75
RCRB11,Lajes Corporativas,140.39999999999998,0.0431,0.0608,0.72,518174000,787073,9.0,12679.6,8.2109,0.0648,0.1469,0.72
