Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimoDividendo
BTWR11,Lajes Corporativas,105.49,0.0418,0.0408,0.95,85369900,3057,1.0,4200.49,1.8719,0.0446,0.0,0.38
CACR11,Híbrido,99.72999999999999,0.1181,0.1621,0.97,180255000,307575,0.0,0.0,0.0,0.0,0.0,1.54
CARE11,Híbrido,3.91,-0.0212,0.0021,0.48,139860000,55349,2.0,5463.02,0.1016,0.0019,0.9999,0.0
CBOP11,Lajes Corporativas,60.49,0.1473,0.1382,0.79,85593400,53121,1.0,4979.89,4.1092,0.0825,0.4732,0.49
CCRF11,Títulos e Val. Mob.,97.69,0.0683,0.1329,1.0,153559000,10955,0.0,0.0,0.0,0.0,0.0,1.1
CEOC11,Lajes Corporativas,60.23,0.0947,0.0946,0.67,109359000,61194,1.0,8232.25,9.3,0.113,0.0,0.5
CNES11,Lajes Corporativas,33.489999999999995,0.0397,0.038,0.38,98770300,12465,1.0,1411.77,1.7176,0.1217,0.546,0.1
CORM11,Híbrido,81.0,0.1359,0.1338,0.91,82402600,1950,3.0,7566.86,7.0647,0.0934,0.0,0.77
CPFF11,Títulos e Val. Mob.,73.6,0.0472,0.0982,0.96,401104000,772759,0.0,0.0,0.0,0.0,0.0,0.62
CPTR11,Títulos e Val. Mob.,106.25,0.027,0.0481,1.06,110104000,136405,0.0,0.0,0.0,0.0,0.0,1.75
CPTS11,Títulos e Val. Mob.,90.48,0.0087,0.1407,1.01,2875710000,7097650,0.0,0.0,0.0,0.0,0.0,1.1
CRFF11,Títulos e Val. Mob.,73.88,0.0851,0.0838,0.87,50980200,87621,0.0,0.0,0.0,0.0,0.0,0.61
CTXT11,Lajes Corporativas,12.78999999999999,-0.0722,0.0,0.32,37126500,2895,1.0,795.35,0.2293,0.0288,0.9778,0.01
CVBI11,Títulos e Val. Mob.,90.4,0.1475,0.1528,0.91,995325000,3077550,0.0,0.0,0.0,0.0,0.0,0.74
CXAG11,Outros,81.31,0.0429,0.0469,0.71,169988000,139915,32.0,2945.97,1.482,0.0503,0.0,0.75
CXCE11B,Lajes Corporativas,39.78,0.1525999999999999,0.1172,0.61,68141200,28161,1.0,3207.72,5.6986,0.1777,0.0,0.36
CXCI11,Títulos e Val. Mob.,83.55,0.0153,0.0463,0.87,171923000,108067,0.0,0.0,0.0,0.0,0.0,0.83
CXCO11,Lajes Corporativas,78.99,0.1067,0.103,0.82,309996000,202753,10.0,3332.58,3.7586,0.1128,0.0,0.72
CXRI11,Títulos e Val. Mob.,70.0,0.0928,0.0885,0.85,110303000,18555,0.0,0.0,0.0,0.0,0.0,0.55
CXTL11,Logística,385.0,-0.0064,0.0481,0.55,20634800,12466,3.0,830.92,0.7881,0.0948,0.6515000000000001,14.53
DCRA11,Títulos e Val. Mob.,9.73,0.054,0.0821,1.01,65569500,279029,0.0,0.0,0.0,0.0,0.0,0.13
DEVA11,Títulos e Val. Mob.,96.28,0.0789,0.1626,0.97,1338850000,3610800,0.0,0.0,0.0,0.0,0.0,1.0
DPRO11,Híbrido,100.98,0.0253,0.0132,1.03,23881800,12753,1.0,2814.47,0.385,0.0137,0.0,1.35
DRIT11B,Lajes Corporativas,89.0,0.0716,0.0751,0.71,41231700,1730,6.0,8238.03,7.865,0.0955,0.0626999999999999,0.67
DVFF11,Híbrido,77.38,0.0592,0.1026,0.85,85191500,159456,0.0,0.0,0.0,0.0,0.0,0.75
EDFO11B,Lajes Corporativas,206.9,0.0843999999999999,0.088,1.07,48828400,5787,1.0,137326.0,132.91129999999998,0.0968,0.0,1.68
EDGA11,Lajes Corporativas,20.489999999999988,0.0718,0.0723,0.31,78109000,51606,1.0,3103.47,4.1764,0.1346,0.4959,0.09
EGAF11,Títulos e Val. Mob.,103.10999999999999,0.0684999999999999,0.0856,1.07,31099000,133761,0.0,0.0,0.0,0.0,0.0,5.29
EQIR11,Títulos e Val. Mob.,94.5,0.093,0.1026,0.95,47486200,22273,0.0,0.0,0.0,0.0,0.0,1.1
ERPA11,Lajes Corporativas,132.0,0.0001,0.0184,1.14,66121700,83522,1.0,19524.7,3.4418,0.0176,0.0,0.7
EURO11,Logística,230.97,0.0894,0.0877,0.74,88677700,49734,7.0,750.81,0.7394,0.0984999999999999,0.0,1.75
EVBI11,Híbrido,99.0,0.0812,0.0889,0.99,138379000,98105,7.0,7112.53,5.2175,0.0733999999999999,0.0,0.75
EXES11,Títulos e Val. Mob.,103.05,0.03,0.0178,1.02,22200600,6623,0.0,0.0,0.0,0.0,0.0,0.9
FAED11,Outros,152.8,0.102,0.1057,0.71,98123300,90084,3.0,2581.19,2.8288,0.1096,0.0,1.54
FAMB11B,Lajes Corporativas,800.0,-0.1438,0.0,0.26,83840000,14431,1.0,1427.31,0.0,0.0,1.0,9.16
FATN11,Híbrido,100.08999999999999,0.0751,0.0939,0.99,100090000,73278,22.0,25542.4,19.5133,0.0764,0.0052,0.86
FCFL11,Outros,125.42,0.0764,0.0708,1.2,435710000,217552,1.0,14042.7,11.6122,0.0827,0.0,0.87
FEXC11,Títulos e Val. Mob.,88.49,0.1211999999999999,0.132,0.96,540100000,987740,0.0,0.0,0.0,0.0,0.0,0.9
FGAA11,Híbrido,9.959999999999999,0.0134,0.0898,1.04,339612000,1793970,0.0,0.0,0.0,0.0,0.0,0.14
FIGS11,Shoppings,54.28999999999999,0.079,0.0783,0.55,154726000,197008,2.0,2411.87,2.0428,0.0847,0.1545,0.37
FIIB11,Híbrido,487.8,0.0839,0.0819,1.07,334143000,266738,11.0,597.93,0.5658,0.0946,0.0124,3.55
FIIP11B,Híbrido,160.0,0.1014,0.0971,0.86,148346000,95299,7.0,2088.88,2.4164,0.1157,0.0,1.35
FLCR11,Títulos e Val. Mob.,97.1,0.1689,0.1730999999999999,0.97,61522900,176286,0.0,0.0,0.0,0.0,0.0,1.0
FLMA11,Híbrido,130.05,0.065,0.0677,0.83,179556000,66592,1.0,10269.5,7.6278,0.0742999999999999,0.0,0.89
FLRP11,Shoppings,1579.99,0.0666,0.066,0.92,103066000,14248,1.0,2377.32,1.8293,0.0769,0.0272,10.0
FMOF11,Lajes Corporativas,62.01,0.0001,0.0023,0.51,31501600,1625,2.0,1868.5,1.5275999999999998,0.0818,0.3784,0.14
FPAB11,Lajes Corporativas,209.0,0.0832,0.0834999999999999,0.51,156750000,7810,2.0,3420.82,4.1532,0.1214,0.2675,1.6
FPNG11,Lajes Corporativas,62.75999999999999,0.1171,0.106,0.37,64162300,86,6.0,7163.82,10.2574,0.1432,0.2354,0.71
FTCE11B,Híbrido,2789.92,-0.0495,0.0675,1.0,2611020000,8877,69.0,2076.47,0.4506,0.0217,0.0591,37.63
FVPQ11,Shoppings,118.78999999999999,0.0648,0.0687,0.6,332630000,166125,1.0,5775.9,7.9251,0.1372,0.074,0.52
GALG11,Híbrido,9.68,1.0469,0.1103,0.1,55645800,689541,6.0,515.53,4.4849,0.87,0.0,0.08
GAME11,Outros,9.47,0.0373,0.0833,0.98,195082000,244491,0.0,0.0,0.0,0.0,0.0,0.1
GCFF11,Títulos e Val. Mob.,71.86,0.1142,0.1673,0.85,24331700,41417,0.0,0.0,0.0,0.0,0.0,0.76
GCRA11,Títulos e Val. Mob.,101.47999999999999,0.0412,0.1038,1.03,160626000,197715,0.0,0.0,0.0,0.0,0.0,1.2
GCRI11,Títulos e Val. Mob.,94.95,0.123,0.157,0.98,110844000,119918,0.0,0.0,0.0,0.0,0.0,1.25
GGRC11,Logística,118.99,0.0852,0.0862,0.92,923175000,1403250,19.0,1127.12,0.9264,0.0822,0.0,0.9
GTLG11,Logística,98.0,0.0567999999999999,0.0783,1.05,702954000,200325,5.0,4033.87,1.8365,0.0455,0.0381,0.7
GTWR11,Lajes Corporativas,82.8,0.1047,0.1036999999999999,0.85,993600000,788451,3.0,11059.6,12.3957,0.1121,0.0,0.74
HAAA11,Lajes Corporativas,89.05,0.0742999999999999,0.0735,0.99,307668000,951,2.0,20972.3,16.0273,0.0764,0.1693,0.54
HABT11,Títulos e Val. Mob.,95.02000000000001,0.0735,0.1638,0.95,772207000,1851290,0.0,0.0,0.0,0.0,0.0,1.03
HBCR11,Outros,111.00000000000001,0.2142,0.0891,1.29,30192000,39012,4.0,2535.89,3.9998,0.1577,0.0,0.72
HBRH11,Híbrido,95.99,0.0951999999999999,0.0944999999999999,0.85,266104000,290693,5.0,8834.74,8.328899999999999,0.0943,0.0283,0.66
HCHG11,Outros,84.78,0.0576999999999999,0.115,0.81,101736000,49187,0.0,0.0,0.0,0.0,0.0,1.0
HCRI11,Hospital,246.5,0.1099,0.0987,0.82,49300000,57188,1.0,8938.83,12.367,0.1384,0.0,4.98
HCTR11,Títulos e Val. Mob.,100.0,0.0868,0.1789,0.82,2208420000,8140860,0.0,0.0,0.0,0.0,0.0,1.1
HFOF11,Títulos e Val. Mob.,76.7,0.1097,0.0935999999999999,0.93,1764100000,1184230,0.0,0.0,0.0,0.0,0.0,0.62
HGAG11,Outros,103.49999999999999,-0.0085,0.0031,1.02,25694100,31765,0.0,0.0,0.0,0.0,0.0,0.32
HGBS11,Shoppings,209.80000000000004,0.0633,0.0653,0.97,2098000000,2039610,12.0,4002.03,2.6337,0.0658,0.0516,1.3
HGCR11,Títulos e Val. Mob.,104.3,0.0949,0.1226,1.03,1529760000,3742770,0.0,0.0,0.0,0.0,0.0,1.2
HGFF11,Títulos e Val. Mob.,79.15,0.0942,0.0892,0.91,226654000,584405,0.0,0.0,0.0,0.0,0.0,0.65
HGIC11,Títulos e Val. Mob.,107.49,0.0765,0.1158,0.91,30999500,316560,0.0,0.0,0.0,0.0,0.0,1.05
HGLG11,Logística,174.0,0.0666,0.091,1.19,4081460000,6472080,20.0,2856.45,2.0724,0.0726,0.0705,1.1
HGPO11,Lajes Corporativas,262.40000000000003,0.0611,0.0623,0.98,460002000,462960,2.0,36169.4,23.6636,0.0654,0.0404,1.6
HGRE11,Lajes Corporativas,140.5,0.0508,0.0761,0.87,1660400000,2335280,19.0,8260.2,5.3664,0.065,0.2475,0.78
HGRU11,Híbrido,127.89999999999999,0.0715,0.0756,1.08,2354190000,4119940,84.0,4486.99,3.5392,0.0789,0.0,0.82
HLOG11,Logística,96.31,0.0834999999999999,0.0796,0.87,409318000,80163,4.0,9376.21,7.887899999999999,0.0841,0.0605,0.65
HOSI11,Híbrido,64.66,0.0679,0.0856,0.7,37079300,15691,0.0,0.0,0.0,0.0,0.0,0.44
HPDP11,Shoppings,80.95,0.0645,0.0645,0.85,235468000,5695,1.0,1833.78,1.3073,0.0713,0.0207,0.45
HRDF11,Híbrido,1.0999999999999999,-0.015,0.0,0.96,8345840,1288,0.0,0.0,0.0,0.0,0.0,5.4
HREC11,Títulos e Val. Mob.,94.5,0.0977,0.1242,1.04,440057000,13890,0.0,0.0,0.0,0.0,0.0,0.8
HSAF11,Títulos e Val. Mob.,84.68,0.0989,0.1525,0.9,150190000,396288,0.0,0.0,0.0,0.0,0.0,1.0
HSLG11,Logística,96.72,0.0688,0.0771,0.92,1224480000,629099,4.0,2852.69,2.3866,0.0837,0.0049,0.69
HSML11,Shoppings,91.43,0.0762999999999999,0.0762,0.92,1442820000,3002860,6.0,8870.76,5.2309,0.059,0.0513,0.67
HSRE11,Híbrido,101.0,0.0679,0.0705,1.05,860324000,810876,27.0,8400.96,6.689400000000001,0.0796,0.0,0.63
HTMX11,Hotel,115.97999999999999,0.0069,0.0074,0.88,145789000,295184,24.0,59.39,0.0126,0.0212,0.0,0.86
HUCG11,Hospital,102.89999999999999,0.0149,0.0312,1.01,115454000,2323,2.0,1098.62,0.0,0.0,0.0,0.82
HUSC11,Outros,110.5,0.0818,0.0805,0.77,87804700,8001,1.0,1188.26,1.3078,0.1101,0.0,0.96
HUSI11,Hospital,1071.0,0.0001,0.0137,1.08,124624000,22815,1.0,6121.99,0.0791999999999999,0.0013,0.0,7.95
IBCR11,Títulos e Val. Mob.,91.14999999999999,0.1216,0.1755999999999999,0.96,87360300,253305,0.0,0.0,0.0,0.0,0.0,1.25
IBFF11,Títulos e Val. Mob.,66.4,0.0828,0.0819999999999999,0.93,44267600,93339,0.0,0.0,0.0,0.0,0.0,0.48
IDFI11,Híbrido,69.74,0.0045,0.6812,0.96,143520000,17576,111.0,0.0,0.0,0.0,0.0,0.91
IDGR11,Híbrido,81.79,0.0684999999999999,0.2584,0.94,72249900,272594,1.0,0.0,0.0,0.0,0.0,6.95
IRDM11,Títulos e Val. Mob.,101.95,0.1022,0.1442999999999999,1.07,3368890000,6886880,0.0,0.0,0.0,0.0,0.0,1.27
IRIM11,Híbrido,103.81,0.0960999999999999,0.1626,1.05,199315000,192961,0.0,0.0,0.0,0.0,0.0,1.16
ITIP11,Títulos e Val. Mob.,82.38,0.1705999999999999,0.0953999999999999,0.96,61632700,109670,0.0,0.0,0.0,0.0,0.0,0.94
ITIT11,Títulos e Val. Mob.,76.75,0.1045,0.0571,0.99,69112900,102649,0.0,0.0,0.0,0.0,0.0,0.54
JASC11,Outros,100.0,-0.0028,0.0081999999999999,0.86,182029000,36416,2.0,1633.47,0.0,0.0,0.0,0.83
JBFO11,Títulos e Val. Mob.,86.69,0.0764,0.0774,1.02,110883000,81,0.0,0.0,0.0,0.0,0.0,0.6
JFLL11,Residencial,73.2,0.1571,0.1009999999999999,0.73,109844000,130124,2.0,7412.41,12.5091,0.1687999999999999,0.3904999999999999,0.62
JGPX11,Híbrido,98.49,0.0435,0.0584999999999999,1.03,83529100,117319,0.0,0.0,0.0,0.0,0.0,1.2
JPPA11,Híbrido,106.49,0.1014,0.1681,1.06,64316100,558582,0.0,0.0,0.0,0.0,0.0,1.65
JPPC11,Híbrido,199.99,0.3503,0.0914,0.54,10999400,5,0.0,0.0,0.0,0.0,0.0,0.17
JRDM11,Shoppings,86.4,0.0629,0.0678,0.99,217984000,166037,1.0,7364.6,6.4266,0.0873,0.0319,0.62
JSAF11,Títulos e Val. Mob.,88.9,0.0521,0.0516999999999999,0.93,139844000,331651,0.0,0.0,0.0,0.0,0.0,0.93
JSRE11,Híbrido,85.95,0.0677,0.0707,0.76,1784950000,3242480,6.0,15072.6,11.8471,0.0786,0.1492,0.49
KCRE11,Títulos e Val. Mob.,93.0,0.0072,0.0408,0.95,334800000,317278,0.0,0.0,0.0,0.0,0.0,1.0
KEVE11,Residencial,1019.9999999999999,0.0115,0.0733,1.06,150655000,23066,0.0,0.0,0.0,0.0,0.0,12.93
KFOF11,Títulos e Val. Mob.,87.5,0.0882,0.0868999999999999,0.95,396665000,868056,0.0,0.0,0.0,0.0,0.0,0.7
KINP11,Residencial,15.0,-0.0087,0.3522999999999999,2.5,107219000,68423,1.0,0.0,0.0,0.0,0.0,0.21
KISU11,Títulos e Val. Mob.,8.34,0.1018,0.098,0.95,368595000,950040,0.0,0.0,0.0,0.0,0.0,0.07
KIVO11,Títulos e Val. Mob.,99.95,0.0681,0.0695,1.0,35792100,12417,0.0,0.0,0.0,0.0,0.0,1.25
KNCA11,Títulos e Val. Mob.,106.71,0.0452,0.0603,1.06,864342000,1313330,0.0,0.0,0.0,0.0,0.0,1.46
KNCR11,Títulos e Val. Mob.,101.39,0.0666,0.1052,1.0,4447090000,10103200,0.0,0.0,0.0,0.0,0.0,1.3
KNHY11,Títulos e Val. Mob.,96.92,0.0687,0.1581,1.0,1792130000,2463520,0.0,0.0,0.0,0.0,0.0,0.76
KNIP11,Títulos e Val. Mob.,93.0,0.0613,0.1686,0.98,7466000000,10580200,0.0,0.0,0.0,0.0,0.0,0.58
KNRE11,Residencial,0.95,0.045,0.4806,0.83,17619800,5114,1.0,0.0,0.0,0.0,0.0,0.0
KNRI11,Híbrido,154.75,0.064,0.064,0.97,3738310000,3841550,20.0,4650.45,3.0443,0.0655,0.0014,0.91
KNSC11,Títulos e Val. Mob.,85.65,0.0557,0.1743,0.97,1137070000,4275010,0.0,0.0,0.0,0.0,0.0,0.7
