Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimaCotacao,ultimoDividendo
PLOG11,Logística,77.60,17.54%,11.49%,0.77,58200000,153176,1,789.92,158.44,20.06%,0.00%,77.6,0.75
PLRI11,Títulos e Val. Mob.,27.31,-3.16%,50.67%,0.78,26062000,5251,0,0.00,0.00,0.00%,0.00%,27.31,0.29
PORD11,Títulos e Val. Mob.,96.60,13.57%,15.12%,0.98,360161000,879750,0,0.00,0.00,0.00%,0.00%,96.6,1.15
PQAG11,Logística,55.99,8.38%,8.44%,0.98,783406000,5176,1,12433.10,1041.64,8.38%,0.00%,55.99,0.42
PQDP11,Shoppings,2300.00,7.60%,7.60%,0.69,564680000,187969,1,79306.80,8092.74,10.20%,0.00%,2300,17.87
PRSN11B,Residencial,0.85,-9.28%,8.50%,0.70,10986200,376,2,18363.70,0.00,0.00%,0.00%,0.85,0.15
PRSV11,Lajes Corporativas,113.01,6.47%,0.00%,0.46,22037000,5313,1,1970.52,356.21,18.08%,40.90%,113.01,14.1
PURB11,Híbrido,95.10,8.08%,2.51%,0.92,98603700,16072,2,19798.90,1831.23,9.25%,0.00%,95.1,1.4
PVBI11,Lajes Corporativas,97.30,6.83%,6.29%,0.98,976843000,3458220,4,10952.60,756.50,6.91%,0.00%,97.3,0.56
QAGR11,Outros,46.51,10.03%,9.98%,0.83,234410000,343710,12,2762.23,312.54,11.31%,0.00%,46.51,0.41
QAMI11,Híbrido,86.80,26.56%,17.35%,0.94,69561300,46355,0,0.00,0.00,0.00%,0.00%,86.8,1
QIRI11,Títulos e Val. Mob.,78.04,9.53%,9.83%,0.92,11706000,2665,0,0.00,0.00,0.00%,0.00%,78.04,0.66
RBCO11,Lajes Corporativas,41.38,13.11%,10.43%,0.48,156375000,210102,4,3552.87,614.84,17.31%,0.00%,41.38,0.25
RBDS11,Residencial,3.71,-85.98%,0.00%,0.17,469400,534,0,0.00,0.00,0.00%,0.00%,3.71,2.35
RBED11,Outros,133.60,10.32%,10.00%,0.95,270089000,167498,7,3100.33,331.87,10.70%,0.00%,133.6,1.23
RBFF11,Títulos e Val. Mob.,56.45,10.31%,10.16%,0.89,211643000,1340910,0,0.00,0.00,0.00%,0.00%,56.45,0.5
RBHG11,Títulos e Val. Mob.,87.91,10.83%,15.83%,0.92,151872000,339542,0,0.00,0.00,0.00%,0.00%,87.91,1.23
RBHY11,Títulos e Val. Mob.,96.70,9.98%,17.31%,1.00,183102000,182872,0,0.00,0.00,0.00%,0.00%,96.7,1.38
RBIR11,Residencial,69.30,-2.30%,0.35%,0.72,105933000,49123,0,0.00,0.00,0.00%,0.00%,69.3,0.24
RBLG11,Logística,97.49,10.86%,9.79%,0.95,62413000,780,1,338.14,25.40,7.51%,0.00%,97.49,0.88
RBRD11,Híbrido,40.00,7.51%,10.00%,0.58,74071400,55792,4,2636.22,262.48,9.96%,27.96%,40,0.3
RBRF11,Títulos e Val. Mob.,74.05,9.04%,9.79%,0.90,1013060000,2588870,0,0.00,0.00,0.00%,0.00%,74.05,0.6
RBRI11,Híbrido,950.00,7.95%,0.00%,0.76,110086000,179759,0,0.00,0.00,0.00%,0.00%,950,17.86
RBRL11,Logística,95.19,6.73%,8.62%,0.88,636539000,501486,6,1905.25,162.85,8.55%,0.00%,95.19,0.65
RBRP11,Outros,59.30,8.87%,9.14%,0.72,722226000,1591540,10,10199.00,1025.09,10.05%,0.00%,59.3,0.45
RBRR11,Títulos e Val. Mob.,95.73,10.30%,13.32%,1.00,1286510000,4276740,0,0.00,0.00,0.00%,0.00%,95.73,1
RBRS11,Híbrido,65.00,6.97%,8.06%,0.72,105265000,25698,3,9752.11,661.68,6.79%,2.54%,65,0.4
RBRX11,Títulos e Val. Mob.,95.00,3.89%,0.00%,1.00,178665000,91002,0,0.00,0.00,0.00%,0.00%,95,0.29
RBRY11,Títulos e Val. Mob.,103.46,10.89%,13.76%,1.02,405537000,1219310,0,0.00,0.00,0.00%,0.00%,103.46,1.2
RBVA11,Outros,98.80,9.40%,11.42%,0.96,1144910000,733780,81,7925.25,1014.98,12.81%,0.00%,98.8,1.02
RBVO11,10.71,4.98%,19.89%,0.62,5524480,6780,0,0.00,0.00,0.00%,0.00%,10.71,0.04
RCFF11,Títulos e Val. Mob.,92.01,2.84%,2.76%,0.99,29737600,1633,0,0.00,0.00,0.00%,0.00%,92.01,1.75
RCRB11,Lajes Corporativas,140.40,4.31%,6.08%,0.72,518174000,787073,9,12679.60,821.09,6.48%,14.69%,140.4,0.72
RDPD11,Títulos e Val. Mob.,50.11,24.73%,16.71%,0.90,54020700,25271,0,0.00,0.00,0.00%,0.00%,50.11,0.61
RECR11,Títulos e Val. Mob.,93.79,13.90%,15.35%,0.98,2479960000,5024790,0,0.00,0.00,0.00%,0.00%,93.79,0.8
RECT11,Híbrido,62.91,8.57%,9.76%,0.67,537471000,736946,9,6880.32,605.66,8.80%,11.05%,62.91,0.5
RECX11,Títulos e Val. Mob.,78.49,12.05%,12.89%,0.94,17135400,12025,0,0.00,0.00,0.00%,0.00%,78.49,0.8
