<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	15:47:00	109661	109725	109661	109725	52490	390809700	0
2022.11.16	15:48:00	109782	109805	109782	109805	42258	363295900	0
2022.11.16	15:49:00	109820	109891	109820	109891	39395	235560310	0
2022.11.16	15:50:00	109875	109875	109828	109828	46890	277100000	0
2022.11.16	15:51:00	109762	109799	109762	109799	43788	301190100	0
2022.11.16	15:52:00	109747	109753	109747	109753	44532	339618600	0
2022.11.16	15:53:00	109709	109709	109693	109693	58677	449163400	0
2022.11.16	15:54:00	109706	109720	109706	109720	44974	334459500	0
2022.11.16	15:55:00	109753	109764	109753	109764	37798	247824900	0
2022.11.16	15:56:00	109746	109746	109720	109720	48503	286393200	0
2022.11.16	15:57:00	109672	109737	109672	109737	52176	393170800	0
2022.11.16	15:58:00	109712	109712	109704	109704	40128	563499800	0
2022.11.16	15:59:00	109690	109690	109591	109591	69340	683560200	0
2022.11.16	16:00:00	109512	109564	109512	109564	84753	730768100	0
2022.11.16	16:01:00	109681	109701	109681	109701	52517	492572800	0
2022.11.16	16:02:00	109750	109766	109750	109766	48681	364087900	0
2022.11.16	16:03:00	109775	109775	109750	109750	39695	246914260	0
2022.11.16	16:04:00	109761	109785	109761	109785	38872	244526190	0
2022.11.16	16:05:00	109771	109799	109771	109799	39639	304861000	0
2022.11.16	16:06:00	109808	109808	109679	109679	51168	589383700	0
2022.11.16	16:07:00	109677	109771	109677	109771	45646	460672500	0
2022.11.16	16:08:00	109749	109758	109749	109758	39281	277408400	0
2022.11.16	16:09:00	109784	109806	109784	109806	43330	298370200	0
2022.11.16	16:10:00	109835	109835	109790	109790	55505	452363100	0
2022.11.16	16:11:00	109721	109735	109721	109735	53598	390533900	0
2022.11.16	16:12:00	109779	109779	109767	109767	52965	332094300	0
2022.11.16	16:13:00	109765	109765	109756	109756	40925	253048600	0
2022.11.16	16:14:00	109754	109754	109745	109745	59422	443382800	0
2022.11.16	16:15:00	109736	109736	109729	109729	46679	531969200	0
2022.11.16	16:16:00	109714	109714	109680	109680	51219	427452500	0
2022.11.16	16:17:00	109640	109640	109621	109621	47172	503729300	0
2022.11.16	16:18:00	109631	109692	109631	109692	49073	343865900	0
2022.11.16	16:19:00	109661	109721	109661	109721	42160	251267400	0
2022.11.16	16:20:00	109768	109768	109752	109752	40378	328599700	0
2022.11.16	16:21:00	109752	109859	109752	109859	54689	481496500	0
2022.11.16	16:22:00	109843	109843	109842	109842	41554	310188100	0
2022.11.16	16:23:00	109826	109826	109810	109810	37515	473788500	0
2022.11.16	16:24:00	109867	109906	109867	109906	45312	348493500	0
2022.11.16	16:25:00	110004	110004	109929	109929	60029	533883600	0
2022.11.16	16:26:00	109972	109972	109914	109914	40272	279285000	0
2022.11.16	16:27:00	109897	109921	109897	109921	42712	239756500	0
2022.11.16	16:28:00	109902	109936	109902	109936	43367	253652600	0
2022.11.16	16:29:00	109966	109966	109955	109955	42851	247354900	0
2022.11.16	16:30:00	109951	109951	109942	109942	46516	308269100	0
2022.11.16	16:31:00	109917	109917	109907	109907	47314	319470500	0
2022.11.16	16:32:00	109870	109870	109854	109854	45089	317652900	0
2022.11.16	16:33:00	109815	109873	109815	109873	49972	328159700	0
2022.11.16	16:34:00	109878	109878	109878	109878	38182	280443800	0
2022.11.16	16:35:00	109867	109884	109867	109884	48228	326085600	0
2022.11.16	16:36:00	109898	109944	109898	109944	43434	331437900	0
2022.11.16	16:37:00	110062	110150	110062	110150	56962	502286300	0
2022.11.16	16:38:00	110136	110136	110049	110049	53261	387682000	0
2022.11.16	16:39:00	110048	110084	110048	110084	36779	218425200	0
